#contig,AI05,AI15,AI20,AI28,AI40,AII05,AII15,AII20,AII28,AII40,AIII05,AIII15,AIII20,AIII28,AIII40
NODE_76_length_11230_cov_7_84761,0.0,190.402754245,4.07537289662,0.0,0.0,0.0,1231.87878242,11.6339226279,0.0,0.0,0.0,885.624218215,10.5202986588,0.0,0.0
NODE_66_length_12818_cov_38_4142,278.690322034,927.325669876,15.3764069412,26.6743107849,0.0,41.9239599467,75.6641974103,30.1027747996,30.6079697537,0.0,27.5963281024,74.8981404445,20.8198917513,0.0,0.0
NODE_787_length_11028_cov_9_46387,0.0,0.0,34.0031112847,0.0,0.0,0.0,0.0,14.905963367,0.0,0.0,0.0,0.0,14.7504886789,0.0,0.0
NODE_678_length_12079_cov_4_92906,0.0,0.0,9.80089678206,0.0,0.0,0.0,0.0,9.9251902419,0.0,0.0,0.0,0.0,11.4031209238,0.0,0.0
NODE_780_length_11114_cov_38_1497,0.0,0.0,93.2585331558,8.41081871596,0.0,0.0,0.0,68.8219235455,15.3320655831,0.0,0.0,0.0,73.7892276556,0.0,0.0
NODE_507_length_14493_cov_4_92928,0.0,0.0,17.6516151228,6.38535624967,0.0,0.0,0.0,13.4880790467,10.5583455297,0.0,0.0,0.0,12.9112756267,0.0,0.0
NODE_400_length_16666_cov_7_45536,0.0,0.0,26.7024432736,0.0,0.0,0.0,0.0,12.9427389235,0.0,0.0,0.0,0.0,10.0053190041,0.0,0.0
NODE_840_length_10527_cov_5_43984,0.0,0.0,19.9768278798,0.0,0.0,0.0,16.790886967,19.377752377,0.0,0.0,0.0,9.76932266668,20.3049120967,0.0,0.0
NODE_149_length_30230_cov_5_05418,0.0,0.0,18.3266768909,0.0,0.0,0.0,0.0,7.88925378202,0.0,0.0,0.0,0.0,6.95222533744,0.0,0.0
NODE_625_length_12700_cov_9_33673,0.0,0.0,33.4030563797,0.0,0.0,0.0,0.0,29.0120945533,0.0,0.0,0.0,0.0,24.3879650726,0.0,0.0
NODE_444_length_15776_cov_7_2442,0.0,0.0,26.3024066702,0.0,0.0,0.0,0.0,28.6121784629,0.0,0.0,0.0,0.0,29.7584671851,0.0,0.0
NODE_341_length_18405_cov_76_2584,0.0,0.0,251.322996054,6.52267573891,0.0,0.0,7.65900107268,141.352159929,14.1526759228,0.0,0.0,0.0,124.956134769,0.0,0.0
NODE_231_length_23332_cov_6_99716,0.0,0.0,25.5773403266,0.0,0.0,0.0,0.0,10.1433262912,0.0,0.0,0.0,0.0,18.097856434,0.0,0.0
NODE_569_length_13461_cov_5_77898,0.0,0.0,15.6264298183,0.0,0.0,0.0,26.3856795196,17.48723995,0.0,0.0,0.0,18.3254614728,22.3280464541,0.0,0.0
NODE_907_length_10021_cov_4_62061,0.0,0.0,16.9765533546,8.82277718368,12.0857514278,0.0,0.0,15.0150313916,15.1074199335,13.4024163829,0.0,0.0,16.6264859922,0.0,11.391490164
NODE_777_length_11153_cov_4_57767,0.0,0.0,16.6515236144,4.80618212341,13.7097742759,0.0,0.0,16.287491679,0.0,18.908835517,0.0,0.0,21.445224189,0.0,11.9588823944
NODE_446_length_15722_cov_4_07883,0.0,36.6939588554,14.7513497485,0.0,0.0,0.0,66.7848060568,17.1600358761,0.0,0.0,0.0,45.2070617517,24.3143965505,0.0,0.0
NODE_238_length_22995_cov_9_29172,0.0,0.0,35.0532073685,0.0,0.0,0.0,0.0,11.306718554,0.0,0.0,0.0,0.0,6.87865681535,0.0,0.0
NODE_743_length_11448_cov_3_86579,0.0,0.0,14.1512948435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE_727_length_11622_cov_7_13945,0.0,0.0,24.8522739831,0.0,0.0,0.0,0.0,20.6502126645,0.0,0.0,0.0,0.0,23.026947414,0.0,0.0
NODE_181_length_27182_cov_6_70583,0.0,0.0,18.7017112066,0.0,0.0,0.0,0.0,17.1963918843,0.0,0.0,0.0,0.0,21.9602038437,0.0,0.0
NODE_779_length_11146_cov_4_55631,0.0,0.0,16.3264938742,0.0,0.0,0.0,0.0,6.98035357672,0.0,0.0,0.0,0.0,7.83504760251,0.0,0.0
NODE_319_length_19216_cov_5_24164,0.0,0.0,18.9767363714,0.0,0.0,0.0,0.0,16.0329996215,0.0,0.0,0.0,0.0,17.0311128637,0.0,0.0
NODE_887_length_10180_cov_3_64731,0.0,0.0,13.1512033351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE_171_length_27857_cov_5_89947,0.0,0.0,17.9266402876,59.459338841,0.0,0.0,0.0,17.9235120486,102.663061853,0.0,0.0,0.0,18.6128360886,0.0,0.0
NODE_686_length_12053_cov_4_29522,0.0,0.0,15.4014092289,0.0,0.0,0.0,0.0,14.2515552191,0.0,0.0,0.0,0.0,18.8335416549,0.0,0.0
NODE_568_length_13483_cov_5_16361,0.0,0.0,18.576699768,0.0,0.0,0.0,0.0,14.6878273177,0.0,0.0,0.0,0.0,19.9002852252,0.0,0.0
